name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
позиционироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
поизвести,сов,пер,,НБI4д,П5,Пв2,С,,,ППД1в,ППС2,,ДП8
поизводить,сов,пер,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
поизучать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
показушничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
покайфовать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
покемарить,сов,неп,,НБII2,П1,Пв3,С,,,ППД1в,,,ДП2
покладать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
покраситься,сов,неп,,НБII3ш,П1,Пв3,С,,,ППД1в,,,ДП2
покусаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
полапать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
политизировать,2в,пер,,НБI9у,П1,Пв1,С,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
политизироваться,2в,неп,,НБI9у,П1,Пв1,С,ПНД1,,ППД1в,,ДН1,ДП1
померять,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
померяться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
помитинговать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
помуслякать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
понабираться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
понавыдумать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
понавыдумывать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
понапихаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
понтоваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
поокрепнуть,сов,неп,,НБI4,П9,Пв2,С,,,ППД5,,,ДП9&10
пооткрываться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
попереживать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
попихаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
поплохеть,сов,неп,б,НБI3-,П1-,Пв1-,,,,,,,
попринимать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
попроведать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
попужать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
попукать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
попустовать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
попылить,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
поразбрасывать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
поребячиться,сов,неп,,НБII1,П1,Пв3,С,,,ППД1в,,,ДП3
порешать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посаливать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
посизеть,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посикать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посмекать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посморкаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посозерцать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посопротивляться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посоставлять,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
посрать,сов,неп,,НБI4,П1,Пв2,С,,,ППД1в,,,ДП1
поссать,сов,неп,,НБI-II3,П1,Пв4,С,,,ППД1в,,,ДП1
постажировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
постажироваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
потискаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
потискивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
потренькивать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
потусоваться,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
пофоткать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
